Z^2;;;p-value;;;
0;;;> 0.50;;;
0,493432787;0,4824;;0,482;;;
0,493658172;0,4823;;0,482;;;
0,493883634;0,4822;;0,482;;;
0,494109173;0,4821;;0,482;;;
0,494334789;0,482;;0,482;;;
0,494560482;0,4819;;0,482;;;
0,494786252;0,4818;;0,482;;;
0,495012099;0,4817;;0,482;;;
0,495238023;0,4816;;0,482;;;
0,495464024;0,4815;;0,482;;;
0,495690102;0,4814;;0,481;;;
0,495916258;0,4813;;0,481;;;
0,49614249;0,4812;;0,481;;;
0,4963688;0,4811;;0,481;;;
0,496595187;0,481;;0,481;;;
0,496821651;0,4809;;0,481;;;
0,497048193;0,4808;;0,481;;;
0,497274811;0,4807;;0,481;;;
0,497501508;0,4806;;0,481;;;
0,497728281;0,4805;;0,481;;;
0,497955132;0,4804;;0,480;;;
0,49818206;0,4803;;0,480;;;
0,498409066;0,4802;;0,480;;;
0,498636149;0,4801;;0,480;;;
0,49886331;0,48;;0,480;;;
0,499090549;0,4799;;0,480;;;
0,499317865;0,4798;;0,480;;;
0,499545258;0,4797;;0,480;;;
0,499772729;0,4796;;0,480;;;
0,500000278;0,4795;;0,480;;;
0,500227905;0,4794;;0,479;;;
0,500455609;0,4793;;0,479;;;
0,500683391;0,4792;;0,479;;;
0,500911251;0,4791;;0,479;;;
0,501139188;0,479;;0,479;;;
0,501367204;0,4789;;0,479;;;
0,501595297;0,4788;;0,479;;;
0,501823468;0,4787;;0,479;;;
0,502051717;0,4786;;0,479;;;
0,502280044;0,4785;;0,479;;;
0,50250845;0,4784;;0,478;;;
0,502736933;0,4783;;0,478;;;
0,502965494;0,4782;;0,478;;;
0,503194133;0,4781;;0,478;;;
0,50342285;0,478;;0,478;;;
0,503651646;0,4779;;0,478;;;
0,50388052;0,4778;;0,478;;;
0,504109471;0,4777;;0,478;;;
0,504338501;0,4776;;0,478;;;
0,50456761;0,4775;;0,478;;;
0,504796796;0,4774;;0,477;;;
0,505026061;0,4773;;0,477;;;
0,505255405;0,4772;;0,477;;;
0,505484826;0,4771;;0,477;;;
0,505714326;0,477;;0,477;;;
0,505943905;0,4769;;0,477;;;
0,506173562;0,4768;;0,477;;;
0,506403297;0,4767;;0,477;;;
0,506633111;0,4766;;0,477;;;
0,506863004;0,4765;;0,477;;;
0,507092975;0,4764;;0,476;;;
0,507323025;0,4763;;0,476;;;
0,507553153;0,4762;;0,476;;;
0,50778336;0,4761;;0,476;;;
0,508013646;0,476;;0,476;;;
0,508244011;0,4759;;0,476;;;
0,508474454;0,4758;;0,476;;;
0,508704976;0,4757;;0,476;;;
0,508935577;0,4756;;0,476;;;
0,509166257;0,4755;;0,476;;;
0,509397016;0,4754;;0,475;;;
0,509627853;0,4753;;0,475;;;
0,50985877;0,4752;;0,475;;;
0,510089765;0,4751;;0,475;;;
0,51032084;0,475;;0,475;;;
0,510551993;0,4749;;0,475;;;
0,510783226;0,4748;;0,475;;;
0,511014538;0,4747;;0,475;;;
0,511245929;0,4746;;0,475;;;
0,511477399;0,4745;;0,475;;;
0,511708948;0,4744;;0,474;;;
0,511940576;0,4743;;0,474;;;
0,512172284;0,4742;;0,474;;;
0,512404071;0,4741;;0,474;;;
0,512635937;0,474;;0,474;;;
0,512867883;0,4739;;0,474;;;
0,513099908;0,4738;;0,474;;;
0,513332012;0,4737;;0,474;;;
0,513564196;0,4736;;0,474;;;
0,51379646;0,4735;;0,474;;;
0,514028802;0,4734;;0,473;;;
0,514261225;0,4733;;0,473;;;
0,514493727;0,4732;;0,473;;;
0,514726308;0,4731;;0,473;;;
0,514958969;0,473;;0,473;;;
0,51519171;0,4729;;0,473;;;
0,515424531;0,4728;;0,473;;;
0,515657431;0,4727;;0,473;;;
0,515890411;0,4726;;0,473;;;
0,51612347;0,4725;;0,473;;;
0,51635661;0,4724;;0,472;;;
0,516589829;0,4723;;0,472;;;
0,516823128;0,4722;;0,472;;;
0,517056508;0,4721;;0,472;;;
0,517289967;0,472;;0,472;;;
0,517523506;0,4719;;0,472;;;
0,517757125;0,4718;;0,472;;;
0,517990824;0,4717;;0,472;;;
0,518224603;0,4716;;0,472;;;
0,518458462;0,4715;;0,472;;;
0,518692401;0,4714;;0,471;;;
0,518926421;0,4713;;0,471;;;
0,51916052;0,4712;;0,471;;;
0,5193947;0,4711;;0,471;;;
0,51962896;0,471;;0,471;;;
0,5198633;0,4709;;0,471;;;
0,520097721;0,4708;;0,471;;;
0,520332222;0,4707;;0,471;;;
0,520566803;0,4706;;0,471;;;
0,520801465;0,4705;;0,471;;;
0,521036207;0,4704;;0,470;;;
0,52127103;0,4703;;0,470;;;
0,521505933;0,4702;;0,470;;;
0,521740916;0,4701;;0,470;;;
0,52197598;0,47;;0,470;;;
0,522211125;0,4699;;0,470;;;
0,522446351;0,4698;;0,470;;;
0,522681657;0,4697;;0,470;;;
0,522917043;0,4696;;0,470;;;
0,523152511;0,4695;;0,470;;;
0,523388059;0,4694;;0,469;;;
0,523623688;0,4693;;0,469;;;
0,523859397;0,4692;;0,469;;;
0,524095188;0,4691;;0,469;;;
0,524331059;0,469;;0,469;;;
0,524567012;0,4689;;0,469;;;
0,524803045;0,4688;;0,469;;;
0,525039159;0,4687;;0,469;;;
0,525275354;0,4686;;0,469;;;
0,52551163;0,4685;;0,469;;;
0,525747988;0,4684;;0,468;;;
0,525984426;0,4683;;0,468;;;
0,526220946;0,4682;;0,468;;;
0,526457546;0,4681;;0,468;;;
0,526694228;0,468;;0,468;;;
0,526930991;0,4679;;0,468;;;
0,527167835;0,4678;;0,468;;;
0,527404761;0,4677;;0,468;;;
0,527641768;0,4676;;0,468;;;
0,527878856;0,4675;;0,468;;;
0,528116026;0,4674;;0,467;;;
0,528353277;0,4673;;0,467;;;
0,528590609;0,4672;;0,467;;;
0,528828023;0,4671;;0,467;;;
0,529065519;0,467;;0,467;;;
0,529303095;0,4669;;0,467;;;
0,529540754;0,4668;;0,467;;;
0,529778494;0,4667;;0,467;;;
0,530016316;0,4666;;0,467;;;
0,530254219;0,4665;;0,467;;;
0,530492204;0,4664;;0,466;;;
0,530730271;0,4663;;0,466;;;
0,53096842;0,4662;;0,466;;;
0,53120665;0,4661;;0,466;;;
0,531444962;0,466;;0,466;;;
0,531683357;0,4659;;0,466;;;
0,531921833;0,4658;;0,466;;;
0,53216039;0,4657;;0,466;;;
0,53239903;0,4656;;0,466;;;
0,532637752;0,4655;;0,466;;;
0,532876556;0,4654;;0,465;;;
0,533115442;0,4653;;0,465;;;
0,53335441;0,4652;;0,465;;;
0,53359346;0,4651;;0,465;;;
0,533832592;0,465;;0,465;;;
0,534071807;0,4649;;0,465;;;
0,534311103;0,4648;;0,465;;;
0,534550482;0,4647;;0,465;;;
0,534789943;0,4646;;0,465;;;
0,535029487;0,4645;;0,465;;;
0,535269113;0,4644;;0,464;;;
0,535508821;0,4643;;0,464;;;
0,535748611;0,4642;;0,464;;;
0,535988484;0,4641;;0,464;;;
0,53622844;0,464;;0,464;;;
0,536468478;0,4639;;0,464;;;
0,536708598;0,4638;;0,464;;;
0,536948802;0,4637;;0,464;;;
0,537189087;0,4636;;0,464;;;
0,537429456;0,4635;;0,464;;;
0,537669907;0,4634;;0,463;;;
0,537910441;0,4633;;0,463;;;
0,538151057;0,4632;;0,463;;;
0,538391756;0,4631;;0,463;;;
0,538632538;0,463;;0,463;;;
0,538873403;0,4629;;0,463;;;
0,539114351;0,4628;;0,463;;;
0,539355382;0,4627;;0,463;;;
0,539596495;0,4626;;0,463;;;
0,539837692;0,4625;;0,463;;;
0,540078971;0,4624;;0,462;;;
0,540320334;0,4623;;0,462;;;
0,54056178;0,4622;;0,462;;;
0,540803308;0,4621;;0,462;;;
0,54104492;0,462;;0,462;;;
0,541286615;0,4619;;0,462;;;
0,541528393;0,4618;;0,462;;;
0,541770255;0,4617;;0,462;;;
0,5420122;0,4616;;0,462;;;
0,542254228;0,4615;;0,462;;;
0,542496339;0,4614;;0,461;;;
0,542738534;0,4613;;0,461;;;
0,542980812;0,4612;;0,461;;;
0,543223173;0,4611;;0,461;;;
0,543465618;0,461;;0,461;;;
0,543708147;0,4609;;0,461;;;
0,543950759;0,4608;;0,461;;;
0,544193455;0,4607;;0,461;;;
0,544436234;0,4606;;0,461;;;
0,544679097;0,4605;;0,461;;;
0,544922043;0,4604;;0,460;;;
0,545165073;0,4603;;0,460;;;
0,545408187;0,4602;;0,460;;;
0,545651385;0,4601;;0,460;;;
0,545894666;0,46;;0,460;;;
0,546138032;0,4599;;0,460;;;
0,546381481;0,4598;;0,460;;;
0,546625014;0,4597;;0,460;;;
0,546868631;0,4596;;0,460;;;
0,547112332;0,4595;;0,460;;;
0,547356117;0,4594;;0,459;;;
0,547599986;0,4593;;0,459;;;
0,547843939;0,4592;;0,459;;;
0,548087976;0,4591;;0,459;;;
0,548332098;0,459;;0,459;;;
0,548576303;0,4589;;0,459;;;
0,548820593;0,4588;;0,459;;;
0,549064967;0,4587;;0,459;;;
0,549309425;0,4586;;0,459;;;
0,549553967;0,4585;;0,459;;;
0,549798594;0,4584;;0,458;;;
0,550043306;0,4583;;0,458;;;
0,550288101;0,4582;;0,458;;;
0,550532981;0,4581;;0,458;;;
0,550777946;0,458;;0,458;;;
0,551022995;0,4579;;0,458;;;
0,551268128;0,4578;;0,458;;;
0,551513347;0,4577;;0,458;;;
0,551758649;0,4576;;0,458;;;
0,552004037;0,4575;;0,458;;;
0,552249509;0,4574;;0,457;;;
0,552495066;0,4573;;0,457;;;
0,552740707;0,4572;;0,457;;;
0,552986434;0,4571;;0,457;;;
0,553232245;0,457;;0,457;;;
0,553478141;0,4569;;0,457;;;
0,553724122;0,4568;;0,457;;;
0,553970187;0,4567;;0,457;;;
0,554216338;0,4566;;0,457;;;
0,554462574;0,4565;;0,457;;;
0,554708895;0,4564;;0,456;;;
0,554955301;0,4563;;0,456;;;
0,555201791;0,4562;;0,456;;;
0,555448368;0,4561;;0,456;;;
0,555695029;0,456;;0,456;;;
0,555941775;0,4559;;0,456;;;
0,556188607;0,4558;;0,456;;;
0,556435524;0,4557;;0,456;;;
0,556682526;0,4556;;0,456;;;
0,556929613;0,4555;;0,456;;;
0,557176786;0,4554;;0,455;;;
0,557424045;0,4553;;0,455;;;
0,557671388;0,4552;;0,455;;;
0,557918817;0,4551;;0,455;;;
0,558166332;0,455;;0,455;;;
0,558413932;0,4549;;0,455;;;
0,558661618;0,4548;;0,455;;;
0,55890939;0,4547;;0,455;;;
0,559157247;0,4546;;0,455;;;
0,559405189;0,4545;;0,455;;;
0,559653218;0,4544;;0,454;;;
0,559901332;0,4543;;0,454;;;
0,560149532;0,4542;;0,454;;;
0,560397818;0,4541;;0,454;;;
0,56064619;0,454;;0,454;;;
0,560894647;0,4539;;0,454;;;
0,561143191;0,4538;;0,454;;;
0,56139182;0,4537;;0,454;;;
0,561640536;0,4536;;0,454;;;
0,561889337;0,4535;;0,454;;;
0,562138225;0,4534;;0,453;;;
0,562387198;0,4533;;0,453;;;
0,562636258;0,4532;;0,453;;;
0,562885404;0,4531;;0,453;;;
0,563134636;0,453;;0,453;;;
0,563383955;0,4529;;0,453;;;
0,563633359;0,4528;;0,453;;;
0,56388285;0,4527;;0,453;;;
0,564132428;0,4526;;0,453;;;
0,564382091;0,4525;;0,453;;;
0,564631841;0,4524;;0,452;;;
0,564881678;0,4523;;0,452;;;
0,565131601;0,4522;;0,452;;;
0,565381611;0,4521;;0,452;;;
0,565631707;0,452;;0,452;;;
0,565881889;0,4519;;0,452;;;
0,566132159;0,4518;;0,452;;;
0,566382515;0,4517;;0,452;;;
0,566632958;0,4516;;0,452;;;
0,566883487;0,4515;;0,452;;;
