Z^2;;;p-value;;;
0;;;> 0.50;;;
0,631515398;0,4268;;0,427;;;
0,631788604;0,4267;;0,427;;;
0,632061907;0,4266;;0,427;;;
0,632335306;0,4265;;0,427;;;
0,632608801;0,4264;;0,426;;;
0,632882393;0,4263;;0,426;;;
0,633156082;0,4262;;0,426;;;
0,633429867;0,4261;;0,426;;;
0,633703749;0,426;;0,426;;;
0,633977728;0,4259;;0,426;;;
0,634251803;0,4258;;0,426;;;
0,634525975;0,4257;;0,426;;;
0,634800245;0,4256;;0,426;;;
0,635074611;0,4255;;0,426;;;
0,635349074;0,4254;;0,425;;;
0,635623633;0,4253;;0,425;;;
0,63589829;0,4252;;0,425;;;
0,636173044;0,4251;;0,425;;;
0,636447896;0,425;;0,425;;;
0,636722844;0,4249;;0,425;;;
0,636997889;0,4248;;0,425;;;
0,637273032;0,4247;;0,425;;;
0,637548272;0,4246;;0,425;;;
0,637823609;0,4245;;0,425;;;
0,638099044;0,4244;;0,424;;;
0,638374576;0,4243;;0,424;;;
0,638650206;0,4242;;0,424;;;
0,638925933;0,4241;;0,424;;;
0,639201757;0,424;;0,424;;;
0,63947768;0,4239;;0,424;;;
0,639753699;0,4238;;0,424;;;
0,640029817;0,4237;;0,424;;;
0,640306032;0,4236;;0,424;;;
0,640582345;0,4235;;0,424;;;
0,640858756;0,4234;;0,423;;;
0,641135264;0,4233;;0,423;;;
0,641411871;0,4232;;0,423;;;
0,641688575;0,4231;;0,423;;;
0,641965378;0,423;;0,423;;;
0,642242278;0,4229;;0,423;;;
0,642519277;0,4228;;0,423;;;
0,642796373;0,4227;;0,423;;;
0,643073568;0,4226;;0,423;;;
0,643350861;0,4225;;0,423;;;
0,643628252;0,4224;;0,422;;;
0,643905742;0,4223;;0,422;;;
0,644183329;0,4222;;0,422;;;
0,644461016;0,4221;;0,422;;;
0,6447388;0,422;;0,422;;;
0,645016683;0,4219;;0,422;;;
0,645294665;0,4218;;0,422;;;
0,645572745;0,4217;;0,422;;;
0,645850924;0,4216;;0,422;;;
0,646129201;0,4215;;0,422;;;
0,646407577;0,4214;;0,421;;;
0,646686052;0,4213;;0,421;;;
0,646964625;0,4212;;0,421;;;
0,647243297;0,4211;;0,421;;;
0,647522068;0,421;;0,421;;;
0,647800939;0,4209;;0,421;;;
0,648079908;0,4208;;0,421;;;
0,648358975;0,4207;;0,421;;;
0,648638143;0,4206;;0,421;;;
0,648917409;0,4205;;0,421;;;
0,649196774;0,4204;;0,420;;;
0,649476238;0,4203;;0,420;;;
0,649755802;0,4202;;0,420;;;
0,650035465;0,4201;;0,420;;;
0,650315227;0,42;;0,420;;;
0,650595088;0,4199;;0,420;;;
0,650875049;0,4198;;0,420;;;
0,651155109;0,4197;;0,420;;;
0,651435269;0,4196;;0,420;;;
0,651715529;0,4195;;0,420;;;
0,651995887;0,4194;;0,419;;;
0,652276346;0,4193;;0,419;;;
0,652556904;0,4192;;0,419;;;
0,652837562;0,4191;;0,419;;;
0,65311832;0,419;;0,419;;;
0,653399177;0,4189;;0,419;;;
0,653680134;0,4188;;0,419;;;
0,653961191;0,4187;;0,419;;;
0,654242348;0,4186;;0,419;;;
0,654523605;0,4185;;0,419;;;
0,654804963;0,4184;;0,418;;;
0,65508642;0,4183;;0,418;;;
0,655367977;0,4182;;0,418;;;
0,655649634;0,4181;;0,418;;;
0,655931392;0,418;;0,418;;;
0,65621325;0,4179;;0,418;;;
0,656495208;0,4178;;0,418;;;
0,656777266;0,4177;;0,418;;;
0,657059425;0,4176;;0,418;;;
0,657341684;0,4175;;0,418;;;
0,657624044;0,4174;;0,417;;;
0,657906504;0,4173;;0,417;;;
0,658189065;0,4172;;0,417;;;
0,658471726;0,4171;;0,417;;;
0,658754488;0,417;;0,417;;;
0,659037351;0,4169;;0,417;;;
0,659320315;0,4168;;0,417;;;
0,659603379;0,4167;;0,417;;;
0,659886544;0,4166;;0,417;;;
0,66016981;0,4165;;0,417;;;
0,660453177;0,4164;;0,416;;;
0,660736645;0,4163;;0,416;;;
0,661020214;0,4162;;0,416;;;
0,661303884;0,4161;;0,416;;;
0,661587655;0,416;;0,416;;;
0,661871527;0,4159;;0,416;;;
0,662155501;0,4158;;0,416;;;
0,662439575;0,4157;;0,416;;;
0,662723751;0,4156;;0,416;;;
0,663008029;0,4155;;0,416;;;
0,663292407;0,4154;;0,415;;;
0,663576888;0,4153;;0,415;;;
0,663861469;0,4152;;0,415;;;
0,664146152;0,4151;;0,415;;;
0,664430937;0,415;;0,415;;;
0,664715824;0,4149;;0,415;;;
0,665000812;0,4148;;0,415;;;
0,665285901;0,4147;;0,415;;;
0,665571093;0,4146;;0,415;;;
0,665856386;0,4145;;0,415;;;
0,666141781;0,4144;;0,414;;;
0,666427278;0,4143;;0,414;;;
0,666712877;0,4142;;0,414;;;
0,666998578;0,4141;;0,414;;;
0,667284381;0,414;;0,414;;;
0,667570286;0,4139;;0,414;;;
0,667856294;0,4138;;0,414;;;
0,668142403;0,4137;;0,414;;;
0,668428615;0,4136;;0,414;;;
0,668714929;0,4135;;0,414;;;
0,669001345;0,4134;;0,413;;;
0,669287865;0,4133;;0,413;;;
0,669574486;0,4132;;0,413;;;
0,669861209;0,4131;;0,413;;;
0,670148035;0,413;;0,413;;;
0,670434964;0,4129;;0,413;;;
0,670721995;0,4128;;0,413;;;
0,671009129;0,4127;;0,413;;;
0,671296365;0,4126;;0,413;;;
0,671583704;0,4125;;0,413;;;
0,671871146;0,4124;;0,412;;;
0,672158691;0,4123;;0,412;;;
0,672446339;0,4122;;0,412;;;
0,672734089;0,4121;;0,412;;;
0,673021943;0,412;;0,412;;;
0,6733099;0,4119;;0,412;;;
0,673597959;0,4118;;0,412;;;
0,673886122;0,4117;;0,412;;;
0,674174388;0,4116;;0,412;;;
0,674462758;0,4115;;0,412;;;
0,67475123;0,4114;;0,411;;;
0,675039806;0,4113;;0,411;;;
0,675328485;0,4112;;0,411;;;
0,675617268;0,4111;;0,411;;;
0,675906154;0,411;;0,411;;;
0,676195143;0,4109;;0,411;;;
0,676484236;0,4108;;0,411;;;
0,676773433;0,4107;;0,411;;;
0,677062733;0,4106;;0,411;;;
0,677352137;0,4105;;0,411;;;
0,677641645;0,4104;;0,410;;;
0,677931256;0,4103;;0,410;;;
0,678220972;0,4102;;0,410;;;
0,678510791;0,4101;;0,410;;;
0,678800714;0,41;;0,410;;;
0,679090741;0,4099;;0,410;;;
0,679380872;0,4098;;0,410;;;
0,679671108;0,4097;;0,410;;;
0,679961447;0,4096;;0,410;;;
0,680251891;0,4095;;0,410;;;
0,680542438;0,4094;;0,409;;;
0,68083309;0,4093;;0,409;;;
0,681123847;0,4092;;0,409;;;
0,681414707;0,4091;;0,409;;;
0,681705673;0,409;;0,409;;;
0,681996742;0,4089;;0,409;;;
0,682287916;0,4088;;0,409;;;
0,682579195;0,4087;;0,409;;;
0,682870578;0,4086;;0,409;;;
0,683162066;0,4085;;0,409;;;
0,683453659;0,4084;;0,408;;;
0,683745356;0,4083;;0,408;;;
0,684037158;0,4082;;0,408;;;
0,684329065;0,4081;;0,408;;;
0,684621077;0,408;;0,408;;;
0,684913194;0,4079;;0,408;;;
0,685205416;0,4078;;0,408;;;
0,685497743;0,4077;;0,408;;;
0,685790175;0,4076;;0,408;;;
0,686082712;0,4075;;0,408;;;
0,686375355;0,4074;;0,407;;;
0,686668102;0,4073;;0,407;;;
0,686960955;0,4072;;0,407;;;
0,687253914;0,4071;;0,407;;;
0,687546977;0,407;;0,407;;;
0,687840146;0,4069;;0,407;;;
0,688133421;0,4068;;0,407;;;
0,688426801;0,4067;;0,407;;;
0,688720287;0,4066;;0,407;;;
0,689013878;0,4065;;0,407;;;
0,689307575;0,4064;;0,406;;;
0,689601378;0,4063;;0,406;;;
0,689895286;0,4062;;0,406;;;
0,690189301;0,4061;;0,406;;;
0,690483421;0,406;;0,406;;;
0,690777647;0,4059;;0,406;;;
0,691071979;0,4058;;0,406;;;
0,691366418;0,4057;;0,406;;;
0,691660962;0,4056;;0,406;;;
0,691955612;0,4055;;0,406;;;
0,692250369;0,4054;;0,405;;;
0,692545232;0,4053;;0,405;;;
0,692840201;0,4052;;0,405;;;
0,693135276;0,4051;;0,405;;;
0,693430458;0,405;;0,405;;;
0,693725746;0,4049;;0,405;;;
0,694021141;0,4048;;0,405;;;
0,694316642;0,4047;;0,405;;;
0,69461225;0,4046;;0,405;;;
0,694907965;0,4045;;0,405;;;
0,695203786;0,4044;;0,404;;;
0,695499714;0,4043;;0,404;;;
0,695795748;0,4042;;0,404;;;
0,69609189;0,4041;;0,404;;;
0,696388138;0,404;;0,404;;;
0,696684494;0,4039;;0,404;;;
0,696980956;0,4038;;0,404;;;
0,697277525;0,4037;;0,404;;;
0,697574202;0,4036;;0,404;;;
0,697870985;0,4035;;0,404;;;
0,698167876;0,4034;;0,403;;;
0,698464874;0,4033;;0,403;;;
0,698761979;0,4032;;0,403;;;
0,699059192;0,4031;;0,403;;;
0,699356512;0,403;;0,403;;;
0,69965394;0,4029;;0,403;;;
0,699951474;0,4028;;0,403;;;
0,700249117;0,4027;;0,403;;;
0,700546867;0,4026;;0,403;;;
0,700844725;0,4025;;0,403;;;
0,70114269;0,4024;;0,402;;;
0,701440763;0,4023;;0,402;;;
0,701738944;0,4022;;0,402;;;
0,702037233;0,4021;;0,402;;;
0,70233563;0,402;;0,402;;;
0,702634134;0,4019;;0,402;;;
0,702932747;0,4018;;0,402;;;
0,703231468;0,4017;;0,402;;;
0,703530296;0,4016;;0,402;;;
0,703829233;0,4015;;0,402;;;
0,704128278;0,4014;;0,401;;;
0,704427432;0,4013;;0,401;;;
0,704726694;0,4012;;0,401;;;
0,705026064;0,4011;;0,401;;;
0,705325542;0,401;;0,401;;;
0,705625129;0,4009;;0,401;;;
0,705924825;0,4008;;0,401;;;
0,706224629;0,4007;;0,401;;;
0,706524541;0,4006;;0,401;;;
0,706824562;0,4005;;0,401;;;
0,707124692;0,4004;;0,400;;;
0,707424931;0,4003;;0,400;;;
0,707725279;0,4002;;0,400;;;
0,708025735;0,4001;;0,400;;;
0,708326301;0,4;;0,400;;;
0,708626975;0,3999;;0,400;;;
0,708927759;0,3998;;0,400;;;
0,709228651;0,3997;;0,400;;;
0,709529653;0,3996;;0,400;;;
0,709830764;0,3995;;0,400;;;
0,710131984;0,3994;;0,399;;;
0,710433313;0,3993;;0,399;;;
0,710734752;0,3992;;0,399;;;
0,7110363;0,3991;;0,399;;;
0,711337957;0,399;;0,399;;;
0,711639724;0,3989;;0,399;;;
0,711941601;0,3988;;0,399;;;
0,712243587;0,3987;;0,399;;;
0,712545683;0,3986;;0,399;;;
0,712847889;0,3985;;0,399;;;
0,713150204;0,3984;;0,398;;;
0,713452629;0,3983;;0,398;;;
0,713755164;0,3982;;0,398;;;
0,714057809;0,3981;;0,398;;;
0,714360564;0,398;;0,398;;;
0,714663429;0,3979;;0,398;;;
0,714966404;0,3978;;0,398;;;
0,715269489;0,3977;;0,398;;;
0,715572684;0,3976;;0,398;;;
0,71587599;0,3975;;0,398;;;
0,716179406;0,3974;;0,397;;;
0,716482932;0,3973;;0,397;;;
0,716786569;0,3972;;0,397;;;
0,717090316;0,3971;;0,397;;;
0,717394173;0,397;;0,397;;;
0,717698141;0,3969;;0,397;;;
0,71800222;0,3968;;0,397;;;
0,718306409;0,3967;;0,397;;;
0,71861071;0,3966;;0,397;;;
0,71891512;0,3965;;0,397;;;
0,719219642;0,3964;;0,396;;;
0,719524275;0,3963;;0,396;;;
0,719829018;0,3962;;0,396;;;
0,720133873;0,3961;;0,396;;;
0,720438838;0,396;;0,396;;;
0,720743915;0,3959;;0,396;;;
0,721049102;0,3958;;0,396;;;
0,721354401;0,3957;;0,396;;;
0,721659812;0,3956;;0,396;;;
0,721965333;0,3955;;0,396;;;
0,722270966;0,3954;;0,395;;;
0,72257671;0,3953;;0,395;;;
0,722882566;0,3952;;0,395;;;
0,723188533;0,3951;;0,395;;;
0,723494612;0,395;;0,395;;;
0,723800802;0,3949;;0,395;;;
0,724107105;0,3948;;0,395;;;
0,724413518;0,3947;;0,395;;;
0,724720044;0,3946;;0,395;;;
0,725026682;0,3945;;0,395;;;
0,725333431;0,3944;;0,394;;;
0,725640292;0,3943;;0,394;;;
0,725947266;0,3942;;0,394;;;
0,726254351;0,3941;;0,394;;;
0,726561549;0,394;;0,394;;;
0,726868858;0,3939;;0,394;;;
0,72717628;0,3938;;0,394;;;
0,727483814;0,3937;;0,394;;;
0,727791461;0,3936;;0,394;;;
0,72809922;0,3935;;0,394;;;
0,728407091;0,3934;;0,393;;;
0,728715075;0,3933;;0,393;;;
0,729023171;0,3932;;0,393;;;
0,72933138;0,3931;;0,393;;;
0,729639702;0,393;;0,393;;;
0,729948136;0,3929;;0,393;;;
0,730256684;0,3928;;0,393;;;
0,730565344;0,3927;;0,393;;;
0,730874116;0,3926;;0,393;;;
0,731183002;0,3925;;0,393;;;
0,731492001;0,3924;;0,392;;;
0,731801113;0,3923;;0,392;;;
0,732110338;0,3922;;0,392;;;
0,732419676;0,3921;;0,392;;;
0,732729127;0,392;;0,392;;;
0,733038692;0,3919;;0,392;;;
0,73334837;0,3918;;0,392;;;
0,733658161;0,3917;;0,392;;;
0,733968066;0,3916;;0,392;;;
0,734278084;0,3915;;0,392;;;
0,734588215;0,3914;;0,391;;;
0,734898461;0,3913;;0,391;;;
0,73520882;0,3912;;0,391;;;
0,735519292;0,3911;;0,391;;;
0,735829879;0,391;;0,391;;;
0,736140579;0,3909;;0,391;;;
0,736451393;0,3908;;0,391;;;
0,736762321;0,3907;;0,391;;;
0,737073364;0,3906;;0,391;;;
0,73738452;0,3905;;0,391;;;
0,73769579;0,3904;;0,390;;;
0,738007174;0,3903;;0,390;;;
0,738318673;0,3902;;0,390;;;
0,738630286;0,3901;;0,390;;;
0,738942013;0,39;;0,390;;;
0,739253854;0,3899;;0,390;;;
0,73956581;0,3898;;0,390;;;
0,739877881;0,3897;;0,390;;;
0,740190066;0,3896;;0,390;;;
0,740502366;0,3895;;0,390;;;
0,74081478;0,3894;;0,389;;;
0,741127309;0,3893;;0,389;;;
0,741439953;0,3892;;0,389;;;
0,741752711;0,3891;;0,389;;;
0,742065585;0,389;;0,389;;;
0,742378573;0,3889;;0,389;;;
0,742691677;0,3888;;0,389;;;
0,743004895;0,3887;;0,389;;;
0,743318229;0,3886;;0,389;;;
0,743631678;0,3885;;0,389;;;
0,743945242;0,3884;;0,388;;;
0,744258921;0,3883;;0,388;;;
0,744572716;0,3882;;0,388;;;
0,744886626;0,3881;;0,388;;;
0,745200652;0,388;;0,388;;;
0,745514793;0,3879;;0,388;;;
0,745829049;0,3878;;0,388;;;
0,746143421;0,3877;;0,388;;;
0,746457909;0,3876;;0,388;;;
0,746772513;0,3875;;0,388;;;
0,747087232;0,3874;;0,387;;;
0,747402068;0,3873;;0,387;;;
0,747717019;0,3872;;0,387;;;
0,748032086;0,3871;;0,387;;;
0,748347269;0,387;;0,387;;;
0,748662569;0,3869;;0,387;;;
0,748977984;0,3868;;0,387;;;
0,749293516;0,3867;;0,387;;;
0,749609164;0,3866;;0,387;;;
0,749924928;0,3865;;0,387;;;
0,750240809;0,3864;;0,386;;;
0,750556806;0,3863;;0,386;;;
0,750872919;0,3862;;0,386;;;
0,751189149;0,3861;;0,386;;;
0,751505496;0,386;;0,386;;;
0,751821959;0,3859;;0,386;;;
0,75213854;0,3858;;0,386;;;
0,752455236;0,3857;;0,386;;;
0,75277205;0,3856;;0,386;;;
0,753088981;0,3855;;0,386;;;
0,753406028;0,3854;;0,385;;;
0,753723193;0,3853;;0,385;;;
0,754040474;0,3852;;0,385;;;
0,754357873;0,3851;;0,385;;;
0,754675389;0,385;;0,385;;;
0,754993022;0,3849;;0,385;;;
0,755310773;0,3848;;0,385;;;
0,755628641;0,3847;;0,385;;;
0,755946626;0,3846;;0,385;;;
0,756264729;0,3845;;0,385;;;
0,756582949;0,3844;;0,384;;;
0,756901287;0,3843;;0,384;;;
0,757219742;0,3842;;0,384;;;
0,757538316;0,3841;;0,384;;;
0,757857007;0,384;;0,384;;;
0,758175816;0,3839;;0,384;;;
0,758494742;0,3838;;0,384;;;
0,758813787;0,3837;;0,384;;;
0,75913295;0,3836;;0,384;;;
0,759452231;0,3835;;0,384;;;
0,75977163;0,3834;;0,383;;;
0,760091147;0,3833;;0,383;;;
0,760410782;0,3832;;0,383;;;
0,760730536;0,3831;;0,383;;;
0,761050408;0,383;;0,383;;;
0,761370398;0,3829;;0,383;;;
0,761690507;0,3828;;0,383;;;
0,762010735;0,3827;;0,383;;;
0,762331081;0,3826;;0,383;;;
0,762651546;0,3825;;0,383;;;
0,762972129;0,3824;;0,382;;;
0,763292831;0,3823;;0,382;;;
0,763613652;0,3822;;0,382;;;
0,763934592;0,3821;;0,382;;;
0,764255651;0,382;;0,382;;;
0,764576829;0,3819;;0,382;;;
0,764898126;0,3818;;0,382;;;
0,765219543;0,3817;;0,382;;;
0,765541078;0,3816;;0,382;;;
0,765862733;0,3815;;0,382;;;
0,766184507;0,3814;;0,381;;;
0,7665064;0,3813;;0,381;;;
0,766828413;0,3812;;0,381;;;
0,767150545;0,3811;;0,381;;;
0,767472797;0,381;;0,381;;;
0,767795168;0,3809;;0,381;;;
0,76811766;0,3808;;0,381;;;
0,76844027;0,3807;;0,381;;;
0,768763001;0,3806;;0,381;;;
0,769085852;0,3805;;0,381;;;
0,769408822;0,3804;;0,380;;;
0,769731913;0,3803;;0,380;;;
0,770055123;0,3802;;0,380;;;
0,770378454;0,3801;;0,380;;;
0,770701905;0,38;;0,380;;;
0,771025476;0,3799;;0,380;;;
0,771349167;0,3798;;0,380;;;
0,771672979;0,3797;;0,380;;;
0,771996911;0,3796;;0,380;;;
0,772320964;0,3795;;0,380;;;
0,772645137;0,3794;;0,379;;;
0,77296943;0,3793;;0,379;;;
0,773293845;0,3792;;0,379;;;
0,77361838;0,3791;;0,379;;;
0,773943036;0,379;;0,379;;;
0,774267812;0,3789;;0,379;;;
0,77459271;0,3788;;0,379;;;
0,774917728;0,3787;;0,379;;;
0,775242868;0,3786;;0,379;;;
0,775568129;0,3785;;0,379;;;
0,77589351;0,3784;;0,378;;;
0,776219013;0,3783;;0,378;;;
0,776544638;0,3782;;0,378;;;
0,776870383;0,3781;;0,378;;;
0,77719625;0,378;;0,378;;;
0,777522239;0,3779;;0,378;;;
0,777848349;0,3778;;0,378;;;
0,77817458;0,3777;;0,378;;;
0,778500934;0,3776;;0,378;;;
0,778827408;0,3775;;0,378;;;
0,779154005;0,3774;;0,377;;;
0,779480724;0,3773;;0,377;;;
0,779807564;0,3772;;0,377;;;
0,780134526;0,3771;;0,377;;;
0,780461611;0,377;;0,377;;;
0,780788817;0,3769;;0,377;;;
0,781116146;0,3768;;0,377;;;
0,781443596;0,3767;;0,377;;;
0,781771169;0,3766;;0,377;;;
0,782098865;0,3765;;0,377;;;
0,782426683;0,3764;;0,376;;;
0,782754623;0,3763;;0,376;;;
0,783082686;0,3762;;0,376;;;
0,783410871;0,3761;;0,376;;;
0,783739179;0,376;;0,376;;;
0,784067609;0,3759;;0,376;;;
0,784396163;0,3758;;0,376;;;
0,784724839;0,3757;;0,376;;;
0,785053638;0,3756;;0,376;;;
0,78538256;0,3755;;0,376;;;
0,785711605;0,3754;;0,375;;;
0,786040774;0,3753;;0,375;;;
0,786370065;0,3752;;0,375;;;
0,786699479;0,3751;;0,375;;;
0,787029017;0,375;;0,375;;;
0,787358678;0,3749;;0,375;;;
0,787688463;0,3748;;0,375;;;
0,788018371;0,3747;;0,375;;;
0,788348402;0,3746;;0,375;;;
0,788678557;0,3745;;0,375;;;
0,789008836;0,3744;;0,374;;;
0,789339239;0,3743;;0,374;;;
0,789669765;0,3742;;0,374;;;
0,790000415;0,3741;;0,374;;;
0,790331189;0,374;;0,374;;;
0,790662087;0,3739;;0,374;;;
0,790993109;0,3738;;0,374;;;
0,791324255;0,3737;;0,374;;;
0,791655525;0,3736;;0,374;;;
0,79198692;0,3735;;0,374;;;
0,792318439;0,3734;;0,373;;;
0,792650082;0,3733;;0,373;;;
0,792981849;0,3732;;0,373;;;
0,793313741;0,3731;;0,373;;;
0,793645758;0,373;;0,373;;;
0,793977899;0,3729;;0,373;;;
0,794310165;0,3728;;0,373;;;
0,794642556;0,3727;;0,373;;;
0,794975071;0,3726;;0,373;;;
0,795307712;0,3725;;0,373;;;
0,795640477;0,3724;;0,372;;;
0,795973367;0,3723;;0,372;;;
0,796306382;0,3722;;0,372;;;
0,796639523;0,3721;;0,372;;;
0,796972788;0,372;;0,372;;;
0,797306179;0,3719;;0,372;;;
0,797639695;0,3718;;0,372;;;
0,797973337;0,3717;;0,372;;;
0,798307104;0,3716;;0,372;;;
0,798640997;0,3715;;0,372;;;
0,798975015;0,3714;;0,371;;;
0,799309159;0,3713;;0,371;;;
0,799643428;0,3712;;0,371;;;
0,799977824;0,3711;;0,371;;;
0,800312345;0,371;;0,371;;;
0,800646992;0,3709;;0,371;;;
0,800981765;0,3708;;0,371;;;
0,801316664;0,3707;;0,371;;;
0,801651689;0,3706;;0,371;;;
0,801986841;0,3705;;0,371;;;
0,802322118;0,3704;;0,370;;;
0,802657522;0,3703;;0,370;;;
0,802993052;0,3702;;0,370;;;
0,803328709;0,3701;;0,370;;;
0,803664492;0,37;;0,370;;;
0,804000402;0,3699;;0,370;;;
0,804336439;0,3698;;0,370;;;
0,804672602;0,3697;;0,370;;;
0,805008892;0,3696;;0,370;;;
0,805345308;0,3695;;0,370;;;
0,805681852;0,3694;;0,369;;;
0,806018523;0,3693;;0,369;;;
0,80635532;0,3692;;0,369;;;
0,806692245;0,3691;;0,369;;;
0,807029297;0,369;;0,369;;;
0,807366476;0,3689;;0,369;;;
0,807703783;0,3688;;0,369;;;
0,808041217;0,3687;;0,369;;;
0,808378778;0,3686;;0,369;;;
0,808716467;0,3685;;0,369;;;
0,809054283;0,3684;;0,368;;;
0,809392227;0,3683;;0,368;;;
0,809730299;0,3682;;0,368;;;
0,810068498;0,3681;;0,368;;;
0,810406825;0,368;;0,368;;;
0,810745281;0,3679;;0,368;;;
0,811083864;0,3678;;0,368;;;
0,811422575;0,3677;;0,368;;;
0,811761414;0,3676;;0,368;;;
0,812100382;0,3675;;0,368;;;
0,812439477;0,3674;;0,367;;;
0,812778701;0,3673;;0,367;;;
0,813118054;0,3672;;0,367;;;
0,813457535;0,3671;;0,367;;;
0,813797144;0,367;;0,367;;;
0,814136882;0,3669;;0,367;;;
0,814476748;0,3668;;0,367;;;
0,814816744;0,3667;;0,367;;;
0,815156868;0,3666;;0,367;;;
0,815497121;0,3665;;0,367;;;
0,815837502;0,3664;;0,366;;;
0,816178013;0,3663;;0,366;;;
0,816518653;0,3662;;0,366;;;
0,816859422;0,3661;;0,366;;;
0,81720032;0,366;;0,366;;;
0,817541348;0,3659;;0,366;;;
0,817882505;0,3658;;0,366;;;
0,818223791;0,3657;;0,366;;;
0,818565206;0,3656;;0,366;;;
0,818906751;0,3655;;0,366;;;
0,819248426;0,3654;;0,365;;;
0,819590231;0,3653;;0,365;;;
0,819932165;0,3652;;0,365;;;
0,820274229;0,3651;;0,365;;;
0,820616423;0,365;;0,365;;;
0,820958746;0,3649;;0,365;;;
0,8213012;0,3648;;0,365;;;
0,821643784;0,3647;;0,365;;;
0,821986498;0,3646;;0,365;;;
0,822329342;0,3645;;0,365;;;
0,822672317;0,3644;;0,364;;;
0,823015422;0,3643;;0,364;;;
0,823358657;0,3642;;0,364;;;
0,823702023;0,3641;;0,364;;;
0,824045519;0,364;;0,364;;;
0,824389146;0,3639;;0,364;;;
0,824732904;0,3638;;0,364;;;
0,825076793;0,3637;;0,364;;;
0,825420812;0,3636;;0,364;;;
0,825764962;0,3635;;0,364;;;
0,826109244;0,3634;;0,363;;;
0,826453656;0,3633;;0,363;;;
0,826798199;0,3632;;0,363;;;
0,827142874;0,3631;;0,363;;;
0,82748768;0,363;;0,363;;;
0,827832617;0,3629;;0,363;;;
0,828177686;0,3628;;0,363;;;
0,828522886;0,3627;;0,363;;;
0,828868217;0,3626;;0,363;;;
0,829213681;0,3625;;0,363;;;
0,829559276;0,3624;;0,362;;;
0,829905002;0,3623;;0,362;;;
0,830250861;0,3622;;0,362;;;
0,830596851;0,3621;;0,362;;;
0,830942974;0,362;;0,362;;;
0,831289228;0,3619;;0,362;;;
0,831635615;0,3618;;0,362;;;
0,831982133;0,3617;;0,362;;;
0,832328784;0,3616;;0,362;;;
0,832675568;0,3615;;0,362;;;
0,833022483;0,3614;;0,361;;;
0,833369532;0,3613;;0,361;;;
0,833716712;0,3612;;0,361;;;
0,834064026;0,3611;;0,361;;;
0,834411471;0,361;;0,361;;;
0,83475905;0,3609;;0,361;;;
0,835106762;0,3608;;0,361;;;
0,835454606;0,3607;;0,361;;;
0,835802584;0,3606;;0,361;;;
0,836150694;0,3605;;0,361;;;
0,836498937;0,3604;;0,360;;;
0,836847314;0,3603;;0,360;;;
0,837195824;0,3602;;0,360;;;
0,837544467;0,3601;;0,360;;;
0,837893244;0,36;;0,360;;;
0,838242154;0,3599;;0,360;;;
0,838591198;0,3598;;0,360;;;
0,838940375;0,3597;;0,360;;;
0,839289686;0,3596;;0,360;;;
0,839639131;0,3595;;0,360;;;
0,839988709;0,3594;;0,359;;;
0,840338422;0,3593;;0,359;;;
0,840688268;0,3592;;0,359;;;
0,841038248;0,3591;;0,359;;;
0,841388363;0,359;;0,359;;;
0,841738612;0,3589;;0,359;;;
0,842088995;0,3588;;0,359;;;
0,842439512;0,3587;;0,359;;;
0,842790164;0,3586;;0,359;;;
0,84314095;0,3585;;0,359;;;
0,843491871;0,3584;;0,358;;;
0,843842926;0,3583;;0,358;;;
0,844194116;0,3582;;0,358;;;
0,844545441;0,3581;;0,358;;;
0,844896901;0,358;;0,358;;;
0,845248495;0,3579;;0,358;;;
0,845600225;0,3578;;0,358;;;
0,845952089;0,3577;;0,358;;;
0,846304089;0,3576;;0,358;;;
0,846656224;0,3575;;0,358;;;
0,847008494;0,3574;;0,357;;;
0,8473609;0,3573;;0,357;;;
0,847713441;0,3572;;0,357;;;
0,848066117;0,3571;;0,357;;;
0,84841893;0,357;;0,357;;;
0,848771877;0,3569;;0,357;;;
0,849124961;0,3568;;0,357;;;
0,84947818;0,3567;;0,357;;;
0,849831535;0,3566;;0,357;;;
0,850185026;0,3565;;0,357;;;
0,850538653;0,3564;;0,356;;;
0,850892417;0,3563;;0,356;;;
0,851246316;0,3562;;0,356;;;
0,851600352;0,3561;;0,356;;;
0,851954523;0,356;;0,356;;;
0,852308832;0,3559;;0,356;;;
0,852663277;0,3558;;0,356;;;
0,853017858;0,3557;;0,356;;;
0,853372576;0,3556;;0,356;;;
0,85372743;0,3555;;0,356;;;
0,854082422;0,3554;;0,355;;;
0,85443755;0,3553;;0,355;;;
0,854792815;0,3552;;0,355;;;
0,855148217;0,3551;;0,355;;;
0,855503756;0,355;;0,355;;;
0,855859433;0,3549;;0,355;;;
0,856215246;0,3548;;0,355;;;
0,856571197;0,3547;;0,355;;;
0,856927285;0,3546;;0,355;;;
0,857283511;0,3545;;0,355;;;
0,857639874;0,3544;;0,354;;;
0,857996374;0,3543;;0,354;;;
0,858353013;0,3542;;0,354;;;
0,858709789;0,3541;;0,354;;;
0,859066703;0,354;;0,354;;;
0,859423755;0,3539;;0,354;;;
0,859780944;0,3538;;0,354;;;
0,860138272;0,3537;;0,354;;;
0,860495738;0,3536;;0,354;;;
0,860853342;0,3535;;0,354;;;
0,861211085;0,3534;;0,353;;;
0,861568965;0,3533;;0,353;;;
0,861926984;0,3532;;0,353;;;
0,862285142;0,3531;;0,353;;;
0,862643438;0,353;;0,353;;;
